region,year,month_num,month,IDI,IDI_with_infra
홍천,2023,10,2023-10,0.30085847427682694,0.12291954462149268
홍천,2023,11,2023-11,0.5455604669303571,0.3064460391116403
홍천,2023,12,2023-12,1.101419365841062,0.7233402132946689
홍천,2024,1,2024-01,1.4211537911207248,0.963141032254416
홍천,2024,2,2024-02,1.2216619821560326,0.813522175530897
홍천,2024,3,2024-03,1.1062918631493874,0.7269945862759131
홍천,2024,4,2024-04,0.5476139448953868,0.3079861475854126
홍천,2024,5,2024-05,-0.015718355020432912,-0.11451307735145219
홍천,2024,6,2024-06,-0.6502323442923085,-0.5903985693053588
홍천,2024,7,2024-07,-0.18754676541460577,-0.24338438514708183
홍천,2024,8,2024-08,-0.0966670684586286,-0.17522461243009896
홍천,2024,9,2024-09,-0.07528692477480993,-0.15918950466723494
홍천,2024,10,2024-10,0.31797798056287774,0.1357591743360308
홍천,2024,11,2024-11,0.5927267807386146,0.34182077446783343
홍천,2024,12,2024-12,0.9033195819253109,0.5747653753578557
홍천,2025,1,2025-01,0.4708303981008625,0.2503984874895194
홍천,2025,2,2025-02,-0.06994615310126805,-0.15518392591207852
홍천,2025,3,2025-03,-0.33551261089046314,-0.35435876925397486
홍천,2025,4,2025-04,-0.23586877550618648,-0.2796258927157674
홍천,2025,5,2025-05,-0.14742776336859414,-0.21329513361257313
홍천,2025,6,2025-06,-0.606089711642968,-0.5572915948183534
홍천,2025,7,2025-07,-0.7079075513302865,-0.6336549745838425
홍천,2025,8,2025-08,-0.5859356296665025,-0.5421760333360044
홍천,2025,9,2025-09,-0.23056200965891752,-0.27564581833031565
홍천,2025,10,2025-10,0.5279555781178328,0.2932423725022471
